Top Stories,Article,Publication,Reliability Range (Interactive MB),Bias Range (Interactive MB),Audience (Interactive MB),MB/FC Slant,Rank Number,Date Recorded,Within 24 hours?,,Factual Reporting,,(probably not needed)
U.S rebuffs Haiti troops request after president's assassination,,REUTERS,49.3,-1.65,"40,574,000",Neutral,42,"July 11, 2021",,,Very High,,
Smaller cities jump in hot housing market,,NBC News,45.81,-7.46,"26,225,000",Left-Center,43,"July 11, 2021",,,High,,
Biden Targets Big Business in Sweeping Executive Order to Spur Competition,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,44,"July 11, 2021",,,Mostly Factual,,
"Biden fires head of Social Security Administration, a Trump holdover who drew the ire of Democrats",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,45,"July 11, 2021",,,Mostly Factual,,
Biden nominates L.A. Mayor Eric Garcetti as U.S. ambassador to India,,Los Angeles Times,,,,Left-Center,46,"July 11, 2021",,,High,,
Death toll rises to 79 as more scientists examine cause of Surfside condo collapse,,Miami Herald,46.7,-3.86,,Left-Center,47,"July 11, 2021",,,High,,
Missouri becomes group zero for COVID-19 battle,,The Hill,44.99,-0.38,"24,400,000",Neutral,48,"July 11, 2021",,,Mostly Factual,,
More Abortion Restrictions Have Been Enacted In The U.S. This Year Than In Any Other,,NPR,46.41,-5.24,"38,240,000",Left-Center,49,"July 11, 2021",,,Very High,,
Biden delivers a warning to Putin over ransomware attacks,,POLITICO,43.35,-7.19,"23,750,000",Left-Center,50,"July 11, 2021",,,High,,
,,,,,,,,,,,,,
"State democrats announce plans for $3.5 trillion budget package to expand Medicare, advance Biden priorities",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,1,"July 13, 2021",TRUE,,Mostly Factual,,
"""This is a test of our time,"" Biden says about voting rights",,NPR,46.41,-5.24,"38,240,000",Left-Center,2,"July 13, 2021",TRUE,,Very High,,
"After vaccination burnout, delta variant spurs countries to speed up shots",,Reuters,49.3,-1.65,"40,574,000",Neutral,3,"July 13, 2021",TRUE,,High,,
more than 70 killed in South Africa protests after former leader Jacob Zuma,,CNN,43.77,-8.78,"79,900,000",Left,4,"July 13, 2021",TRUE,,Mixed,,
"American league rolls to eight straight all-star game win, vladamir guerrero wins MVP",,Yahoo Sports,42.71,-6.6,,Left-Center,5,"July 13, 2021",TRUE,,Mixed,,
the engineer who turned an xbox cheat into bitcoin millions,,Bloomberg Businessweek,,,,Left-Center,6,"July 13, 2021",TRUE,,Mostly Factual,,
"Senate democrats agree to $3.5 trillion tax, spending plan",,Bloomberg,45.76,-3.04,"26,673,500",Left-Center,7,"July 13, 2021",TRUE,,Mostly Factual,,
Biden calls passing voting legislation 'a national imperative' and castigates voting restrictions,,the Washington Post,44.05,-7.42,"76,195,000",Left-Center,8,"July 13, 2021",TRUE,,Mostly Factual,,
Wildfires rage across parched wester US as smoke chokes the sky,,AccuWeather,,,,Unknown,9,"July 13, 2021",TRUE,,Unknown,,
"Texas senate passes GOP voting, bail bills despite House Democrats' walkout",,The Texas Tribune,,,,Left-Center,10,"July 13, 2021",TRUE,,High,,
Cuba protests: one man killed and more than 100 missing in historic unrest,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,11,"July 13, 2021",TRUE,,Mixed,,
Senate democrats agree to $3.5 trillion healthcare and antipoverty plan,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,12,"July 13, 2021",TRUE,,Mostly Factual,,
Inflation accelerates again in June as economic recovery continues,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,13,"July 13, 2021",TRUE,,Mostly Factual,,
Four Iranians charged with plotting to kidnap author living in Brooklyn,,NBC news,45.81,-7.46,"26,225,000",Left-Center,14,"July 13, 2021",TRUE,,High,,
COVID cases in parts of missouri and arkansas surge to levels not seen since winter,,NPR,46.41,-5.24,"38,240,000",Left-Center,15,"July 13, 2021",TRUE,,Very High,,
"Texas democrats heap pressure on Biden, congress for voting rights action",,CNN,43.77,-8.78,"79,900,000",Left,16,"July 13, 2021",TRUE,,Mixed,,
"West on fire, east under water as climate change fuels extremes",,NBC news,45.81,-7.46,"26,225,000",Left-Center,17,"July 13, 2021",TRUE,,High,,
Haitians apprehensive of foreign troops as government seeks US help,,Reuters,49.3,-1.65,"40,574,000",Neutral,18,"July 13, 2021",TRUE,,High,,
"Texas senate passes voting bill, as democratic rivals push federal bill",,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,19,"July 13, 2021",TRUE,,Mostly Factual,,
"2021 emmy awards nominations: the crown, ted lasso and wanda vision lead",,People,,,,Left,20,"July 13, 2021",TRUE,,High,,
"Biden denounces ""21st century jim crow assault"" on voting access",,CBS News,48.04,-3.14,"24,400,000",Left-Center,21,"July 13, 2021",TRUE,,High,,
Emmys: Disney leads all combined nominations as HBO tops netflix,,Hollywood Reporter,,,,Left-Center,22,"July 13, 2021",TRUE,,High,,
How we'll know when the COVID-19 crisis is over,,NPR,46.41,-5.24,"38,240,000",Left-Center,23,"July 13, 2021",TRUE,,Very High,,
"""Your evil revolution"": how a reggaeton anthem inspired cuba protests",,National Geographic,46.11,-2.58,,Pro-Science,24,"July 13, 2021",FALSE,,High,,
"Recovery operation moves toward completion at Florida condo collapse, 95 dead",,CNBC,45.45,-2.05,"27,050,000",Left-Center,25,"July 13, 2021",TRUE,,Mostly Factual,,
Texas governor says Democratic lawmakers who left state to stop voting law could face arrest,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,26,"July 13, 2021",TRUE,,Mostly Factual,,
COVID-19 case count spikes hit almost every state,,The Hill,44.99,-0.38,"24,400,000",Neutral,27,"July 13, 2021",FALSE,,Mostly Factual,,
"Bootleg fire, one of dozens raging in the west, creates ""firenado"" near orgeon-california border",,USA Today,,,,Left-Center,28,"July 13, 2021",TRUE,,High,,
South Africa Zuma riots: deadly unrest rages across country,,BBC News,46.44,-2.74,"189,750,000",Left-Center,29,"July 13, 2021",TRUE,,High,,
"Customers are back at restaurants and bard, but workers have moved on",,The Wall Street Journal,,,,Right-Center,30,"July 13, 2021",TRUE,,Mostly Factual,,
,,,,,,,,,,,,,
Biden rallies support on Capitol Hill for sweeping spending deal,,NBC News,45.81,-7.46,"26,225,000",Left-Center,1,"July 14, 2021",TRUE,,,,
Historians Identify 14 Living Relatives of Leonardo da Vinci,,Smithsonian,,,,Pro-Science,2,"July 14, 2021",FALSE,,,,
Britney Spears granted right to hire own lawyer; accuses father of 'conservatorship abuse',,NBC News,45.81,-7.46,"26,225,000",Left-Center,3,"July 14, 2021",TRUE,,,,
Cuba's Internet comes back on - and reveals scenes of a crackdown,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,4,"July 14, 2021",TRUE,,,,
Wildfires spread across almost 1M miles of drought-stricken US,,Fox News,,,,Right,5,"July 14, 2021",TRUE,,,,
What's in Democrats' $3.5 trillion budget plan - and how they plan to pay for it,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,6,"July 14, 2021",TRUE,,,,
Delta variant gains ground in U.S. as outbreaks highlight vaccine divide,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,7,"July 14, 2021",TRUE,,,,
"EU, China Unveils Sweeping Plans to Cut Greenhouse-Gas Emissions",,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,8,"July 14, 2021",TRUE,,,,
"FBI made serious errors during sex abuse investigation of Larry Nassar, Justice Department says",,Los Angeles Times,,,,Left-Center,9,"July 14, 2021",TRUE,,,,
"Red State, Blue State, Twin Outbreak: Behind Wyoming and Colorado's Anomalous Covid Spikes",,Kaiser Health News,,,,Unknown,10,"July 14, 2021",TRUE,,,,
Britney Spears Gets Court Approval to Hire Her Chosen Attorney in Conservatorship Battle,,Hollywood Reporter,,,,Left-Center,11,"July 14, 2021",TRUE,,,,
"European Commision proposes ambitious climate change policies, urging U.S. and other nations to follow",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,12,"July 14, 2021",TRUE,,,,
"Absolutely chilling': Larry Nassar sex abuse reports met with massive FBI failures, DOJ watchdog says",,USA Today,45.77,-4.12,"44,075,000",Left-Center,13,"July 14, 2021",TRUE,,,,
"Passport Delays to Persist, State Department Says, Even With More Staffing",,The Wall Street Journal,,,,Right-Center,14,"July 14, 2021",TRUE,,,,
"Biden urges Democratic unity on rebuilding infrastructure, expanding social programs",,Los Angeles Times,,,,Left-Center,15,"July 14, 2021",TRUE,,,,
Miami-Dade judge approves pursuing sale of Surfside property that is site of condo collapse,,Miami Herald,46.7,-3.86,,Left-Center,16,"July 14, 2021",TRUE,,,,
"Brace for flooding. A moon 'wobble' is coming, NASA warns",,USA Today,45.77,-4.12,"44,075,000",Left-Center,17,"July 14, 2021",TRUE,,,,
"Health costs of gun violence exceeds $1 billion a year, GAO says",,POLITICO,43.35,-7.19,"23,750,000",Left-Center,18,"July 14, 2021",TRUE,,,,
We are seeing people passing quicker than before': What hospitals look like in US Covid hot spots,,CNN,43.77,-8.78,"79,900,000",Left,19,"July 14, 2021",TRUE,,,,
More People Than Ever Died Of Drug Overdoses In The US In 2020,,BuzzFeed News,,,,Left-Center,20,"July 14, 2021",TRUE,,,,
US to evacuate Afghans who assisted US military,,The Hill,44.99,-0.38,"24,400,000",Neutral,21,"July 14, 2021",TRUE,,,,
"In Cuba, Covid-19 Stress Pushes Unrest to the Edge",,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,22,"July 14, 2021",TRUE,,,,
Items found in Surfside rubble could bring legal challenges upon trying to return them,,NBC News,45.81,-7.46,"26,225,000",Left-Center,23,"July 14, 2021",TRUE,,,,
Democrats' next political high-wire act: Selling their $3.5T budget deal,,POLITICO,43.35,-7.19,"23,750,000",Left-Center,24,"July 14, 2021",TRUE,,,,
"Drug overdose deaths hit highest number ever recorded, CDC data shows",,CNN,43.77,-8.78,"79,900,000",Left,25,"July 14, 2021",TRUE,,,,
U.S. Covic-19 Case Counts Have Doubled in Recent Weeks,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,26,"July 14, 2021",TRUE,,,,
Democrats unveil $3.5T go-it-alone plan to fulfill Biden's agenda,,POLITICO,43.35,-7.19,"23,750,000",Left-Center,27,"July 14, 2021",FALSE,,,,
"Iranian intelligence agents plotted abduction of Brooklyn journalist, prosecutors say",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,28,"July 14, 2021",TRUE,,,,
"This Is A Test Of Our Time,' Biden Says About Voting Rights Battles",,NPR,46.41,-5.24,"38,240,000",Left-Center,29,"July 14, 2021",FALSE,,,,
More than 70 killed in South Africa protests after former leader jacob Zuma is jailed,,CNN,43.77,-8.78,"79,900,000",Left,30,"July 14, 2021",TRUE,,,,
,,,,,,,,,,,,,
At least 67 dead and hundreds missing as flooding rages across Germany and Belgium,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,1,"July 15, 2021",TRUE,,,,
L.A. County will require masks indoors amid alarming rise in coronavirus cases,,Los Angeles Times,,,,Left-Center,2,"July 15, 2021",TRUE,,,,
"WHO warns of ""strong likelihood"" of new, possibly more dangerous variants",,ABC News,,,,Left-Center,3,"July 15, 2021",TRUE,,,,
"""What choice do we have?"": U.S. farm workers battle deadly heatwave",,Aljazeera,,,,Left-Center,4,"July 15, 2021",TRUE,,,,
"More than 30 suspects implicated in plot to kill Haitian president, officials say",,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,5,"July 15, 2021",TRUE,,,,
"Ex-Soldiers, Security Officials and Businessmen Conspired to Kill Haitian President, Officials Say",,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,6,"July 15, 2021",TRUE,,,,
Texas Democrats find voting rights are a tough sell as Capitol Hill turns its focus to Biden's economic agenda,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,7,"July 15, 2021",TRUE,,,,
The Expanded Child Tax Credit Is Here. Here's What You Need To Know,,NPR,46.41,-5.24,"38,240,000",Left-Center,8,"July 15, 2021",TRUE,,,,
A 'stark warning': Parts of the Amazon rainforest release more carbon dioxide than they absorb,,USA Today,45.77,-4.12,"44,075,000",Left-Center,9,"July 15, 2021",TRUE,,,,
Biden and Merkel reaffirm U.S.-German cooperation as her time on Europe’s center stage wanes,,Los Angeles Times,,,,Left-Center,10,"July 15, 2021",TRUE,,,,
Senate nears pivotal vote on bipartisan infrastructure deal that’s still unwritten,,Politico,43.35,-7.19,"23,750,000",Left-Center,11,"July 15, 2021",TRUE,,,,
Western US and Canada brace for another heatwave amid more than 70 wildfires,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,12,"July 15, 2021",TRUE,,,,
The Smoke Comes Every Year. Sugar Companies Say the Air Is Safe,,ProPublica,,,,Left-Center,13,"July 15, 2021",TRUE,,,,
IRS begins sending monthly checks to millions of parents,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,14,"July 15, 2021",TRUE,,,,
Jury Finds Capital Gazette Gunman Responsible And Rejects His Mental Illness Plea,,NPR,46.41,-5.24,"38,240,000",Left-Center,15,"July 15, 2021",TRUE,,,,
Making sense of the recent Covid-19 spike,,Vox,,,,Left,16,"July 15, 2021",TRUE,,,,
"Fleeing high rents, he found a tiny town for his Burning Man dreams. Then came wildfire",,Los Angeles Times,,,,Left-Center,17,"July 15, 2021",TRUE,,,,
Jury finds gunman criminally responsible for killing 5 in Maryland newspaper shooting,,The Hill,44.99,-0.38,"24,400,000",Neutral,18,"July 15, 2021",TRUE,,,,
The U.S. Surgeon General Is Calling COVID-19 Misinformation An 'Urgent Threat',,NPR,46.41,-5.24,"38,240,000",Left-Center,19,"July 15, 2021",TRUE,,,,
"1,300 people assumed missing in one German district after deadly floods",,CNN,43.77,-8.78,"79,900,000",Left,20,"July 15, 2021",TRUE,,,,
"There are people in the rubble yelling': 911 calls reveal panic, anguish at Surfside, Florida, condo collapse",,USA Today,45.77,-4.12,"44,075,000",Left-Center,21,"July 15, 2021",TRUE,,,,
Exclusive: Stephen Breyer says he hasn't decided his retirement plans,,CNN politics,43.77,-8.78,"79,900,000",Left,22,"July 15, 2021",TRUE,,,,
Your Child Tax Credit Payment Just Arrived. Are You Sure You Want It?,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,23,"July 15, 2021",TRUE,,,,
"At least 44 dead, dozens missing as floods sweep through western Europe",,Reuters,49.3,-1.65,"40,574,000",Neutral,24,"July 15, 2021",TRUE,,,,
"Already burning, West set to sizzle in another heat wave",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,25,"July 15, 2021",TRUE,,,,
Delta variant gains ground in US as outbreaks highlight vaccine divide,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,26,"July 15, 2021",TRUE,,,,
"In major steps, UCSF scientists translate unspoken words of paralyzed man into writing",,San Francisco Chronicle,,,,Left-Center,27,"July 15, 2021",TRUE,,,,
What’s in Democrats’ $3.5 Trillion Budget Plan—and How They Plan to Pay for It,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,28,"July 15, 2021",FALSE,,,,
"Cuba's Internet returns, unveiling scenes of a crackdown",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,29,"July 15, 2021",TRUE,,,,
"Britney Spears granted right to hire own lawyer, accuses father of 'conservatorship abuse'",,NBC News,45.81,-7.46,"26,225,000",Left-Center,30,"July 15, 2021",FALSE,,,,
,,,,,,,,,,,,,
"Biden calls court's DACA decision 'deeply dissapointing,' vows to appeal it",,The Hill,44.99,-0.38,"24,400,000",Neutral,1,"July 17, 2021",TRUE,,,,
Three texas house democrats in Washingoton test positive for coronavirus,,The Texas Tribune,,,,Left-Center,2,"July 17, 2021",TRUE,,,,
"A beacon to the world': One year after John Lewis' death, Navy christens ship in his honor",,USA Today,45.77,-4.12,"44,075,000",Left-Center,3,"July 17, 2021",TRUE,,,,
The political turnoil in Haiti has deep historical roots,,Yahoo! News,,,,Left-Center,4,"July 17, 2021",FALSE,,,,
"In a Belgian Ccity ravaged by flooding, the signs of disaster are everywhere",,NPR,46.41,-5.24,"38,240,000",Left-Center,5,"July 17, 2021",TRUE,,,,
Vienna is the new havana syndrome hot spot,,The New Yorker,40.13,-13.3,"19,425,000",Left,6,"July 17, 2021",FALSE,,,,
Biden says US to appeal dreamers ruling and congress must act,,Bloomberg,45.76,-3.04,"26,673,500",Left-Center,7,"July 17, 2021",TRUE,,,,
Missouri COVID-19 hospitalizations reach levels not seen since winter,,St. Louis Post-Dispatch,,,,Left-Center,8,"July 17, 2021",TRUE,,,,
LaTanya Gordon lost two sons to gun violence in three months,,Time,44.02,-9.68,"38,825,000",Left-Center,9,"July 17, 2021",FALSE,,,,
Europe floods: resucuers race to find survivors as hundreds remain missing,,BBC News,46.44,-2.74,"189,750,000",Left-Center,10,"July 17, 2021",TRUE,,,,
First case of coronavirus in olympic village confirmed six days before opening ceremony,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,11,"July 17, 2021",TRUE,,,,
"Covid-19 vaccines are effective at preventing severe disease, experts say",,CNN,43.77,-8.78,"79,900,000",Left,12,"July 17, 2021",TRUE,,,,
Inside the nation's overdose crisis in prisons and jails,,The Marshall Project,,,,Neutral,13,"July 17, 2021",FALSE,,,,
"Federal judge finds DACA unlawful, blocks new applicants",,Politico,43.35,-7.19,"23,750,000",Left-Center,14,"July 17, 2021",FALSE,,,,
Experts fear Germany's deadly floods are a glimpse into climate future,,National Geographic,46.11,-2.58,,Pro-Science,15,"July 17, 2021",FALSE,,,,
Many jobs lost during the coronavirus pandemic just aren't coming back,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,16,"July 17, 2021",FALSE,,,,
"Covid-19 is becoming a pandemic of the unvaccinated, CDC director says",,CNN,43.77,-8.78,"79,900,000",Left,17,"July 17, 2021",TRUE,,,,
"Biz Markie, just a friend rapper and beatbox pioneer, dies at 57",,The Hollywood Reporter,,,,Left-Center,18,"July 17, 2021",TRUE,,,,
US covid deaths are rising again. Experts call it a pandemic of the unvaccinated,,NPR,46.41,-5.24,"38,240,000",Left-Center,19,"July 17, 2021",TRUE,,,,
"Federal judge declares DACA program illegal, but halts only new application",,NBC News,45.81,-7.46,"26,225,000",Left-Center,20,"July 17, 2021",FALSE,,,,
Theyre killing people: Biden blames social media for covid-19 vaccine misinformation ,,Los Angeles Times,,,,Left-Center,21,"July 17, 2021",FALSE,,,,
The assassination of Haiti's leader remains shrouded in mystery: we may never know,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,22,"July 17, 2021",FALSE,,,,
"We have nothing: grief, shock and resilience along the flood-ravaged banks of a German river ",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,23,"July 17, 2021",TRUE,,,,
Biden blasts COVID-19 Vaccine Misinformation on Social Media,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,24,"July 17, 2021",FALSE,,,,
The largest wildfire in the US has grown about 1000 acres every hour,,CNN,43.77,-8.78,"79,900,000",Left,25,"July 17, 2021",FALSE,,,,
Delta is driving a wedge throught Missouri,,The Atlantic,40.14,-9.52,"16,075,000",Left-Center,26,"July 17, 2021",FALSE,,,,
Border patrol arrests hit a 20 year high last month -- but migration isn't neccesarily struglling,,Forbes,,,,Right-Center,27,"July 17, 2021",FALSE,,,,
Judge orders US to close DACA program to new applicants,,CBS News,48.04,-3.14,"24,400,000",Left-Center,28,"July 17, 2021",TRUE,,,,
European officals say climate change has arrived as deadly floods engulf entire towns,,CNN,43.77,-8.78,"79,900,000",Left,29,"July 17, 2021",FALSE,,,,
US - Mexico border apprehensions for the fiscal year surpassed 1 million in June,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,30,"July 17, 2021",TRUE,,,,
,,,,,,,,,,,,,
"Coco Gauff tests positive for COVID-19, out of Tokyo Olympics",,NBC Sports,,,,Left Center,1,"July 18, 2021",TRUE,,,,
"Massive Sugar fire and two other blazes sweep Northern California, fed by dry, gusty conditions",,Los Angeles Times,,,,Left Center,2,"July 18, 2021",TRUE,,,,
He Left Me All Alone In The World': India's COVID Widows Struggle To Survive,,NPR,46.41,-5.24,"38,240,000",Left-Center,3,"July 18, 2021",TRUE,,,,
Everyone on Death Row Gets a Lawyer. Not Everyone Gets a Kim Kardashian.,,The Marshall Project,,,,Neutral,4,"July 18, 2021",FALSE,,,,
Indonesia is battling a devestating Covid-19 crisis. And its peak is likely still to come,,CNN,43.77,-8.78,"79,900,000",Left,5,"July 18, 2021",TRUE,,,,
"Private Israeli spyware used to hack cellphones of journalists, activists worldwide",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,6,"July 18, 2021",TRUE,,,,
COVID-related problems mount as athletes and officials arrive for Tokyo Olympics,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,7,"July 18, 2021",TRUE,,,,
The Open 2021: Collin Morikawa wins the 149th Open Championship,,Golf Digest,,,,Unknown,8,"July 18, 2021",TRUE,,,,
What the megadrought means to the American West,,CBS News,48.04,-3.14,"24,400,000",Left-Center,9,"July 18, 2021",TRUE,,,,
Here's why we call this time of year the 'dog days' of summer,,National Geographic,46.11,-2.58,,Pro-Science,10,"July 18, 2021",FALSE,,,,
Unvaccinated Americans Are Behind Rising Covid-19 Hospitalizations,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,11,"July 18, 2021",TRUE,,,,
Two South African soccer players 1st athletes residing in Tokyo Olympic Village to test positive for COVID-19,,ESPN,,,,Left-Center,12,"July 18, 2021",TRUE,,,,
Enormous scale of destruction is reveled as water subsides after historic western Europe flooding,,CNN,43.77,-8.78,"79,900,000",Left,13,"July 18, 2021",TRUE,,,,
