Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 Hours?	Bipartisan Press Bias
Biden to call efforts to restrict voting 'authoritarian' in speech -White House	https://news.yahoo.com/biden-call-efforts-restrict-voting-172235726.html?fr=sycsrp_catchall	Reuters				Neutral	11.0	July 12, 2021	True	-2.216301
Check Out 9 of the Most Stylish Airbnbs Along Mexico's Pacific and Caribbean Coasts	https://news.yahoo.com/check-9-most-stylish-airbnbs-120000876.html	Architectural Digest				Not sure	12.0	July 12, 2021	False	-0.054498
South Africa deploys military to tackle Zuma riots	https://news.yahoo.com/south-africa-looting-government-deploy-093343383.html?fr=sycsrp_catchall	BBC				Left-Center	13.0	July 12, 2021	True	-2.586687
4 tourists ordered off Bali for violating virus restrictions	https://news.yahoo.com/4-tourists-ordered-off-bali-064016373.html#:~:text=DENPASAR%2C%20Indonesia%20(AP)%20%E2%80%94,COVID%2D19%20illnesses%20and%20deaths.	Associated Press				Neutral	14.0	July 12, 2021	False	-2.532721
Philippines calls allegation of China election influence 'nonsense'	https://news.yahoo.com/philippines-calls-allegation-china-election-111507936.html?fr=sycsrp_catchall	Reuters				Neutral	15.0	July 12, 2021	True	-1.197814
Over 300,000 demand inquiry into 'Biden family corruption'	https://news.yahoo.com/over-300-000-demand-probe-181500123.html?fr=sycsrp_catchall	Washington Examiner				Right	16.0	July 12, 2021	True	12.16654
Hong Kong police arrest 5 more in alleged bomb plot	https://news.yahoo.com/hong-kong-police-arrest-5-093052808.html?fr=sycsrp_catchall	Associated Press				Neutral	17.0	July 12, 2021	True	-2.96745
White House does not rule out Haiti request for U.S. troops	https://news.yahoo.com/colombian-police-no-hypothesis-haiti-142448743.html?fr=sycsrp_catchall	Reuters				Neutral	18.0	July 12, 2021	True	-1.982431
Georgian parliament stormed after journalist's death	https://news.yahoo.com/tbilisi-pride-supporters-defy-violent-130923858.html?fr=sycsrp_catchall	Reuters				Neutral	19.0	July 12, 2021	True	-10.906656
Merkel doubts Biden meeting will solve gas pipeline dispute	https://news.yahoo.com/merkel-doubts-biden-meeting-solve-183711247.html?fr=sycsrp_catchall	Associated Press				Neutral	20.0	July 12, 2021	True	-0.397261
Student charged with putting Hitler quote in school yearbook	https://news.yahoo.com/police-recent-glastonbury-grad-admitted-200700393.html?fr=sycsrp_catchall	Associated Press				Neutral	21.0	July 12, 2021	True	-0.337603
Psaki shoots down Clyburn's call for Biden to endorse filibuster carveout	https://news.yahoo.com/psaki-shoots-down-clyburns-call-192430763.html?fr=sycsrp_catchall	The Week				Left	22.0	July 12, 2021	True	-6.681808
At least 18 people killed in lightning strikes in India	https://news.yahoo.com/lightning-strikes-india-kill-38-051038046.html?fr=sycsrp_catchall	Reuters				Neutral	23.0	July 12, 2021	True	-2.028488
3 men arrested in fatal shooting of 7-year-old girl in Utah	https://news.yahoo.com/3-men-arrested-fatal-shooting-202340095.html?fr=sycsrp_catchall	Associated Press				Neutral	24.0	July 12, 2021	True	0.00813
 US Navy dismisses China's threat: Nothing Beijing 'says otherwise will deter us'	https://news.yahoo.com/us-navy-dismisses-chinas-threat-175900054.html?fr=sycsrp_catchall	Washington Examiner				Right	25.0	July 12, 2021	True	1.7865
Amid Belarus migrant row, Lithuania to open new camp for 500 people	https://news.yahoo.com/amid-belarus-migrant-row-lithuania-105146852.html?fr=sycsrp_catchall	Reuters				Neutral	26.0	July 12, 2021	True	-1.258532
Remains identified as husband of missing Wisconsin couple	https://news.yahoo.com/remains-identified-husband-missing-wisconsin-205305787.html?fr=sycsrp_catchall	Associated Press				Neutral	27.0	July 12, 2021	True	-0.141852
Tucker Carlson teases 'new evidence' of voter fraud in Georgia's Fulton County	https://news.yahoo.com/tucker-carlson-teases-evidence-voter-013700024.html?fr=sycsrp_catchall	Washington Examiner				Right	28.0	July 12, 2021	True	-0.102017
These Dreamy Airbnbs Are Driving Distance From the Bay Area	https://news.yahoo.com/dreamy-airbnbs-driving-distance-bay-211833060.html	Architectural Digest				Not sure	29.0	July 12, 2021	True	-0.582641
Dominican court grants bail to fugitive Indian-born jeweller Choksi	https://news.yahoo.com/dominican-court-grants-bail-fugitive-174708941.html?fr=sycsrp_catchall	Reuters				Neutral	30.0	July 12, 2021	True	-0.75853
										ERROR
Over 60 dead, dozens missing as severe floods strike Europe	https://news.yahoo.com/german-election-candidate-apologises-laughing-113535710.html?fr=sycsrp_catchall	Associated Press				Neutral	1.0	July 14, 2021	True	-3.611412
FBI tried to flip Saudi official in 9/11 investigation	https://news.yahoo.com/fbi-tried-to-flip-saudi-official-in-911-investigation-090041290.html?fr=sycsrp_catchall	Yahoo News				Left-Center	2.0	July 14, 2021	True	8.665441
Suspects in Haitian President's Killing Met to Plan a Future Without Him	https://news.yahoo.com/suspects-haitian-presidents-killing-met-115504792.html?fr=sycsrp_catchall	The New York Times				Left-Center	3.0	July 14, 2021	True	-4.439847
Alabama military base is first in the U.S. to require vaccination proof amid rising covid-19 rates	https://news.yahoo.com/alabama-military-first-u-require-110748838.html?fr=sycsrp_catchall	Washington Post				Left-Center	4.0	July 14, 2021	True	-4.236537
Deadly floods ravage Germany, other parts of Western Europe	https://news.yahoo.com/photos-deadly-floods-ravage-germany-other-parts-of-western-europe-173420441.html?fr=sycsrp_catchall	Yahoo News				Left-Center	5.0	July 14, 2021	True	-2.96385
Olivia Rodrigo visits White House to encourage youth vaccinations with Biden and Fauci	https://news.yahoo.com/olivia-rodrigo-visits-white-house-to-encourage-youth-vaccinations-with-biden-and-fauci-190631667.html?fr=sycsrp_catchall	Yahoo News				Left-Center	6.0	July 14, 2021	True	2.332312
Biden goes after Trump and the 'big lie' in speech on voting rights	https://news.yahoo.com/biden-goes-after-trump-and-the-big-lie-in-speech-on-voting-rights-203751988.html	Yahoo News				Left-Center	7.0	July 14, 2021	False	-12.28863
Biden vowed to end the death penalty. Can he keep his promise?	https://news.yahoo.com/biden-vowed-to-end-the-death-penalty-can-he-keep-his-promise-153301901.html?fr=sycsrp_catchall	Yahoo News				Left-Center	8.0	July 14, 2021	True	-7.821396
Israel arrests dozens of Hamas-linked students in West Bank	https://news.yahoo.com/israel-arrests-dozens-hamas-linked-111054870.html?fr=sycsrp_catchall	Associated Press				Neutral	9.0	July 14, 2021	True	-4.333982
Officials, Taliban strike ceasefire deal in western Afghanistan, says provincial governor	https://news.yahoo.com/afghan-government-says-retakes-pakistan-080317880.html?fr=sycsrp_catchall	Reuters				Neutral	10.0	July 14, 2021	True	0.046185
‘Woke’ admissions rules are really just discrimination in disguise	https://news.yahoo.com/woke-admissions-rules-really-just-212100838.html?fr=sycsrp_catchall	Washington Examiner				Right	11.0	July 14, 2021	True	-9.433908
Palestinians shaken but steadfast as PA suppresses dissent	https://news.yahoo.com/palestinians-shaken-steadfast-pa-suppresses-174318123.html?fr=sycsrp_catchall	Associated Press				Neutral	12.0	July 14, 2021	True	-7.099255
Most Colombians in Haiti went as bodyguards, others knew of assassination plan: Duque	https://news.yahoo.com/most-colombians-haiti-went-bodyguards-142653330.html?fr=sycsrp_catchall	Reuters				Neutral	13.0	July 14, 2021	True	-0.199807
Woman held captive rescued after leaving notes in public restrooms	https://news.yahoo.com/woman-being-held-captive-since-003323373.html?fr=sycsrp_catchall	NBC News				Left-Center	14.0	July 14, 2021	True	
White House will continue pursuing Iran deal despite Iranian plot to kidnap US journalist in NYC	https://news.yahoo.com/white-house-continue-pursuing-iran-193300626.html?fr=sycsrp_catchall	Washington Examiner				Right	15.0	July 14, 2021	False	5.605211
Many Americans embrace falsehoods about critical race theory	https://news.yahoo.com/many-americans-embrace-falsehoods-critical-100456300.html?fr=sycsrp_catchall	Reuters				Neutral	16.0	July 14, 2021	True	-9.498515
Turkey: university rector dismissed after months of protests	https://news.yahoo.com/turkey-university-protests-not-over-171739338.html?fr=sycsrp_catchall	Associated Press				Neutral	17.0	July 14, 2021	True	-1.878459
Video Witnesses come forward with new information in Iowa college student’s slaying	https://news.yahoo.com/information-jolts-case-iowa-college-192151240.html?fr=sycsrp_catchall	Yahoo News				Left-Center	18.0	July 14, 2021	False	-0.271469
Police: Man arrested, tried to sexually assault girl in Fort Worth restaurant bathroom	https://news.yahoo.com/police-man-arrested-tried-sexually-162805683.html?fr=sycsrp_catchall	Fort Worth Star-Telegram				Right-Center	19.0	July 14, 2021	True	1.487594
Biden nominations of McCain and Flake to ambassadorship a signal for 2024, Arizona strategists predict	https://news.yahoo.com/biden-nominations-mccain-flake-ambassadorship-212600163.html?fr=sycsrp_catchall	Washington Examiner				Right	20.0	July 14, 2021	False	3.985581
Myanmar funeral services overwhelmed as COVID toll mounts	https://news.yahoo.com/myanmar-funeral-services-overwhelmed-covid-112752655.html?fr=sycsrp_catchall	Reuters				Neutral	21.0	July 14, 2021	True	-1.396837
Defense wants 'no press' for part of Arbery jury selection	https://news.yahoo.com/defense-wants-no-press-part-200122331.html?fr=sycsrp_catchall	Associated Press				Neutral	22.0	July 14, 2021	True	-2.475568
Black Lives Matter blames US, praises Cuban regime, social media erupts	https://news.yahoo.com/black-lives-matter-blames-us-075904206.html?fr=sycsrp_catchall	Fox News				Right	23.0	July 14, 2021	True	8.840223
You Need a Coffee Table With Storage–And We’ve Got 17 for You	https://news.yahoo.com/coffee-table-storage-ve-got-165343744.html	Architectural Digest				Not Sure	24.0	July 14, 2021	True	-1.519894
White House maintains that Biden's $4.5 trillion infrastructure bills won't cause inflation to jump	https://news.yahoo.com/white-house-maintains-bidens-4-182900211.html?fr=sycsrp_catchall	Washington Examiner				Right	25.0	July 14, 2021	True	7.889706
House Republicans chase midterm dream with mammoth fundraising quarter	https://news.yahoo.com/house-republicans-chase-midterm-dream-102803950.html?fr=sycsrp_catchall	Axios				Left-Center	26.0	July 14, 2021	False	-2.322055
Court orders shorter sentence for 'Tiger King' Joe Exotic	https://news.yahoo.com/court-orders-shorter-sentence-tiger-202345279.html?fr=sycsrp_catchall	Associated Press				Neutral	27.0	July 14, 2021	False	1.062191
U.S. Senate passes bill to ban all products from China's Xinjiang	https://news.yahoo.com/senate-passes-bill-curtail-imports-021900424.html?fr=sycsrp_catchall	Reuters				Neutral	28.0	July 14, 2021	False	-0.866002
Suspect dumps soda on elderly man and hospitalizes him after beating on NYC bus: Video	https://news.yahoo.com/suspect-dumps-soda-elderly-man-135600727.html?fr=sycsrp_catchall	Washington Examiner				Right	29.0	July 14, 2021	True	3.953435
U.S. rejects China maritime claims, calls for ASEAN action on Myanmar	https://news.yahoo.com/blinken-calls-southeast-asian-nations-042421690.html?fr=sycsrp_catchall	Reuters				Neutral	30.0	July 14, 2021	False	1.543203
										ERROR
California Woman Is Charged in Fake COVID-19 Vaccine Card Scheme	https://news.yahoo.com/california-woman-arrested-charged-giving-090051898.html?fr=sycsrp_catchall	The New York Times				Left-Center	1.0	July 15, 2021	True	-1.349613
FBI tried to flip Saudi official in 9/11 investigation	https://news.yahoo.com/fbi-tried-to-flip-saudi-official-in-911-investigation-090041290.html?fr=sycsrp_catchall	Yahoo News				Left-Center	2.0	July 15, 2021	True	8.665441
Should masks be required when kids return to school?	https://news.yahoo.com/boise-school-district-changes-course-012251707.html?fr=sycsrp_catchall	Yahoo News 360				Left-Center	3.0	July 15, 2021	True	1.7851
Hundreds of Frito-Lay workers on strike in Topeka, citing forced overtime and 84-hour workweeks	https://news.yahoo.com/frito-lay-factory-workers-kansas-154612497.html?fr=sycsrp_catchall	Washington Post				Left-Center	4.0	July 15, 2021	False	-5.021102
L.A. County will require masks indoors amid alarming rise in coronavirus cases	https://news.yahoo.com/coronavirus-surge-worsening-california-officials-163034642.html?fr=sycsrp_catchall	LA Times				Left-Center	5.0	July 15, 2021	True	-2.589097
How Accurate Is New York's COVID Death Toll?	https://news.yahoo.com/coronavirus-latest-news-99pc-pregnant-211533720.html?fr=sycsrp_catchall	The New York Times				Left-Center	6.0	July 15, 2021	True	-1.974637
With voting rights legislation stalled, Biden still isn't budging on the filibuster	https://news.yahoo.com/voting-rights-senate-filibuster-white-house-defense-biden-psaki-sharpton-191710231.html?fr=sycsrp_catchall	Yahoo News				Left-Center	7.0	July 15, 2021	False	-5.694423
 Costco, Kmart, Aldi and Priceline among new Covid exposure sites	https://news.yahoo.com/nsw-health-new-covid-exposure-sites-071129511.html?fr=sycsrp_catchall	Yahoo News				Left-Center	8.0	July 15, 2021	False	-2.655687
Iranian kidnapping plot shows that transnational abductions are becoming 'mainstream,' human rights activists say	https://news.yahoo.com/iranian-kidnapping-plot-shows-that-transactional-abductions-are-becoming-mainstream-human-rights-activists-say-221229513.html?fr=sycsrp_catchall	Yahoo News				Left-Center	9.0	July 15, 2021	False	-10.504769
China criticizes US for abandoning Afghanistan, warns against 'shirking its responsibility'	https://news.yahoo.com/china-criticizes-us-abandoning-afghanistan-022441041.html?fr=sycsrp_catchall	Fox News				Right	10.0	July 15, 2021	True	12.14563
Report: U.S. gun injuries result in at least $1B in health care costs per year	https://news.yahoo.com/us-gun-injuries-result-in-at-least-1-b-in-health-care-costs-per-year-203113526.html?fr=sycsrp_catchall	Yahoo News				Left-Center	11.0	July 15, 2021	True	-1.345238
Teens in Central Park rob woman at knifepoint, footage captures chase, police say	https://news.yahoo.com/teens-central-park-rob-woman-015356618.html?fr=sycsrp_catchall	Fox News				Right	12.0	July 15, 2021	True	9.58822
Biden White House lays out plan to tackle ransomware attacks	https://news.yahoo.com/biden-white-house-lays-out-plan-to-tackle-ransomware-attacks-190721510.html?fr=sycsrp_catchall	Yahoo News				Left-Center	13.0	July 15, 2021	True	1.409916
Durham report may not be 'broad' as hoped but prosecutions in play, Nunes says	https://news.yahoo.com/durham-report-may-not-broad-005000144.html?fr=sycsrp_catchall	Washington Examiner				Right	14.0	July 15, 2021	True	12.011396
Authoritarianism advances as world battles the pandemic	https://news.yahoo.com/authoritarianism-advances-world-battles-pandemic-074518083.html?fr=sycsrp_catchall	Associated Press				Neutral	15.0	July 15, 2021	True	-16.438614
2 found dead at former Versace Mansion apparently died by suicide, police say	https://news.yahoo.com/2-found-dead-former-versace-043900357.html?fr=sycsrp_catchall	NBC News				Left-Center	16.0	July 15, 2021	True	-0.849908
Philippines warns about sewage from ships squatting in South China Sea	https://news.yahoo.com/philippines-warns-sewage-ships-squatting-220000575.html?fr=sycsrp_catchall	Washington Examiner				Right	17.0	July 15, 2021	True	4.556737
Schumer drops bomb on Senate with speedy infrastructure timeline	https://news.yahoo.com/schumer-drops-bomb-senate-speedy-004616869.html?fr=sycsrp_catchall	Axios				Left-Center	18.0	July 15, 2021	True	-2.513087
You Need a Coffee Table With Storage–And We’ve Got 17 for You	https://news.yahoo.com/coffee-table-storage-ve-got-165343744.html	Architectural Digest				Not sure	19.0	July 15, 2021	True	-1.519894
Lawyer: US editor jailed in Myanmar fears he has COVID-19	https://news.yahoo.com/lawyer-us-editor-jailed-myanmar-161119782.html?fr=sycsrp_catchall	Associated Press				Neutral	20.0	July 15, 2021	True	-2.854166
Volunteer ambulance drivers help take the strain on Indonesia's COVID frontline	https://news.yahoo.com/volunteer-ambulance-drivers-help-strain-113806598.html?fr=sycsrp_catchall	Reuters				Neutral	21.0	July 15, 2021	False	-1.39431
Brad Raffensperger demands firing of Fulton County, Georgia, election officials after double-counted ballots	https://news.yahoo.com/georgia-republicans-set-process-motion-021800014.html?fr=sycsrp_catchall	Washington Examiner				Right	22.0	July 15, 2021	True	0.041365
1 officer killed, 4 wounded in standoff with Texas gunman	https://news.yahoo.com/gunman-captured-standoff-killed-1-181223546.html?fr=sycsrp_catchall	Associated Press				Neutral	23.0	July 15, 2021	True	0.115037
U.S. begins shipping 3.2 million COVID shots to the Philippines - White House	https://news.yahoo.com/biden-says-u-sent-110-131200217.html?fr=sycsrp_catchall	Reuters				Neutral	24.0	July 15, 2021	True	0.432811
Biden nominations of McCain and Flake to ambassadorship a signal for 2024, Arizona strategists predict	https://news.yahoo.com/biden-nominations-mccain-flake-ambassadorship-212600163.html?fr=sycsrp_catchall	Washington Examiner				Right	25.0	July 15, 2021	False	3.985581
Court orders shorter sentence for 'Tiger King' Joe Exotic	https://news.yahoo.com/court-orders-shorter-sentence-tiger-202345279.html?fr=sycsrp_catchall	Associated Press 				Neutral	26.0	July 15, 2021	False	1.062191
Officials, Taliban strike ceasefire deal in western Afghanistan, says provincial governor	https://news.yahoo.com/afghan-government-says-retakes-pakistan-080317880.html?fr=sycsrp_catchall	Reuters				Neutral	27.0	July 15, 2021	True	0.046185
White House maintains that Biden's $4.5 trillion infrastructure bills won't cause inflation to jump	https://news.yahoo.com/white-house-maintains-bidens-4-182900211.html?fr=sycsrp_catchall	Washington Examiner				Right	28.0	July 15, 2021	True	7.889706
Charities in Myanmar strained by soaring death tolls	https://news.yahoo.com/charities-myanmar-strained-soaring-death-173732619.html?fr=sycsrp_catchall	Associated Press				Neutral	29.0	July 15, 2021	False	-2.442748
Malaysian cabinet backs PM amid coalition infighting	https://news.yahoo.com/malaysian-cabinet-backs-pm-amid-092717016.html?fr=sycsrp_catchall	Reuters				Neutral	30.0	July 15, 2021	False	-0.544025
										ERROR
After a Steep Plunge in Virus Cases, Every State Is Seeing an Uptick	https://news.yahoo.com/steep-plunge-virus-cases-every-120859155.html?fr=sycsrp_catchall	The New York Times				LEFT-CENTER	1.0	July 16, 2021	True	-4.035581
Poll: Americans oppose new Texas-style GOP voting restrictions, prefer Democratic reforms	https://news.yahoo.com/poll-americans-oppose-new-texas-style-gop-voting-restrictions-prefer-democratic-reforms-090031824.html?fr=sycsrp_catchall	Yahoo News				LEFT-CENTER	2.0	July 16, 2021	False	-13.378335
The Louvre's Art Sleuth Is on the Hunt for Looted Paintings	https://news.yahoo.com/louvres-art-sleuth-hunt-looted-184008215.html?fr=sycsrp_catchall	The New York Times				LEFT-CENTER	3.0	July 16, 2021	True	-10.147727
Arizona governor declares emergency after Flagstaff floods	https://news.yahoo.com/park-michigan-woman-dies-grand-140515801.html?fr=sycsrp_catchall	Associated Press				Neutral	4.0	July 16, 2021	True	-1.452911
Federal judge finds DACA unlawful, blocks new applicants	https://news.yahoo.com/judge-orders-end-daca-current-220255092.html?fr=sycsrp_catchall	Politico				LEFT-CENTER	5.0	July 16, 2021	True	4.838813
Swipe to see how a major drought is devastating California's water resources	https://news.yahoo.com/nasa-satellite-images-show-devastation-162056303.html?fr=sycsrp_catchall	USA TODAY				LEFT-CENTER	6.0	July 16, 2021	True	-2.281203
Man sentenced in wife's beating death on Alaska cruise dies	https://news.yahoo.com/utah-man-sentenced-30-years-215000234.html?fr=sycsrp_catchall	Associated Press				Neutral	7.0	July 16, 2021	True	-1.727934
Biden digs in on U.S. public lands nominee as Republican opposition mounts	https://news.yahoo.com/biden-digs-u-public-lands-210631538.html?fr=sycsrp_catchall	Reuters				Neutral	8.0	July 16, 2021	True	-1.458555
Slain Haiti President Jovenel Moïse to be laid to rest in historic city of Cap-Haïtien	https://news.yahoo.com/slain-haiti-president-jovenel-mo-164829316.html?fr=sycsrp_catchall	Miami Herald				LEFT-CENTER	9.0	July 16, 2021	True	0.244525
Iowa duo deny any involvement in Mollie Tibbetts' death	https://news.yahoo.com/iowa-duo-deny-involvement-mollie-221113437.html?fr=sycsrp_catchall	Associated Press				Neutral	10.0	July 16, 2021	True	-0.495794
Sydney tightens lockdown as Australia's COVID-19 cases rise	https://news.yahoo.com/australia-extends-covid-19-lockdown-003318976.html?fr=sycsrp_catchall	Reuters				Neutral	11.0	July 16, 2021	True	-0.686293
Melania Trump reportedly tried 4 times to block an election night party at the White House	https://news.yahoo.com/melania-trump-reportedly-tried-4-025732913.html?fr=sycsrp_catchall	The Week				LEFT	12.0	July 16, 2021	False	-16.64065
‘Not a single drawing’: Mom who lost son, husband in Surfside faces life without keepsakes	https://news.yahoo.com/not-single-drawing-mom-lost-150409677.html?fr=sycsrp_catchall	Miami Herald				LEFT-CENTER	13.0	July 16, 2021	True	-0.695473
Heavy floods hit Western Europe, at least 126 dead, more missing	https://news.yahoo.com/93-dead-hundreds-missing-huge-010809465.html?fr=sycsrp_catchall	Yahoo News Video					14.0	July 16, 2021	True	-0.721273
Biden: Social media platforms 'killing people' with misinfo	https://news.yahoo.com/biden-social-media-platforms-killing-204725987.html?fr=sycsrp_catchall	Associated Press				Neutral	15.0	July 16, 2021	True	0.437487
Gunman in Fort Worth standoff surrenders after shooting at lawn mowing crew, officers	https://news.yahoo.com/fort-worth-police-standoff-resident-172823215.html?fr=sycsrp_catchall	Fort Worth Star-Telegram				RIGHT-CENTER	16.0	July 16, 2021	True	-0.541097
You Need a Coffee Table With Storage–And We’ve Got 17 for You	https://news.yahoo.com/coffee-table-storage-ve-got-165343744.html	Architectural Digest				LEFT	17.0	July 16, 2021	False	-1.519894
New York Governor Cuomo to be deposed in sexual harassment probe -NYT	https://news.yahoo.com/york-governor-cuomo-deposed-sexual-090611919.html?fr=sycsrp_catchall	Reuters				Neutral	18.0	July 16, 2021	False	-2.608977
Syrian president sworn in for 4th term in war-torn country	https://news.yahoo.com/syrian-president-sworn-4th-term-094412725.html?fr=sycsrp_catchall	Associated Press				Neutral	19.0	July 16, 2021	False	-3.140017
Biden grappling with 'pandemic of the unvaccinated'	https://www.huffpost.com/entry/ruby-rose-hospital-covid-19_n_6101669ce4b0f9b5a22ec337	Associated Press				Neutral	20.0	July 16, 2021	True	ERROR
France opens doors to vaccinated travellers, restricts others	https://news.yahoo.com/france-reinforce-covid-19-restrictions-085410238.html?fr=sycsrp_catchall	Reuters				Neutral	21.0	July 16, 2021	False	-0.85047
Thailand tightens measures as daily cases cross 10,000	https://news.yahoo.com/thailand-tightens-measures-daily-cases-043057758.html?fr=sycsrp_catchall	Associated Press				Neutral	22.0	July 16, 2021	True	-0.577561
