,Yahoo News Headline,Publication,MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?,Link to Headline
19,Recent arrests reveal more about how cartel wives help run operations for Mexico's powerful Sinaloa cartel,Business Insider,LEFT-CENTER BIAS,20,"July 22, 2021",True,https://news.yahoo.com//recent-arrests-reveal-more-cartel-223158658.html
20,GOP congressman says he wants to indict Jill Biden ‘for being so cruel to her husband’,The Independent,LEFT-CENTER BIAS,21,"July 22, 2021",True,https://news.yahoo.com//gop-congressman-says-wants-indict-203144153.html
21,"Democrats outraged after the FBI said it got more than 4,500 tips about Brett Kavanaugh - and referred the 'relevant' ones to the Trump White House",Business Insider,LEFT-CENTER BIAS,22,"July 22, 2021",True,https://news.yahoo.com//democrats-outraged-fbi-said-got-023607844.html
22,"At 98 and facing cancer, Bob Dole reckons with legacy of Trump and ponders future of GOP",USA TODAY,LEFT-CENTER BIAS,23,"July 22, 2021",True,https://news.yahoo.com//98-facing-cancer-bob-dole-100314687.html
23,A man who spent $30 million building a 3-mile wall between the US and Mexico is looking for someone to buy it,INSIDER,LEFT-CENTER BIAS,24,"July 22, 2021",True,https://news.yahoo.com//man-spent-30-million-building-062315895.html
24,"Ex-Army Ranger used his military training during Capitol riot, judge says",The Independent,LEFT-CENTER BIAS,25,"July 22, 2021",True,https://news.yahoo.com//ex-army-ranger-used-military-201332148.html
25,Three women attacked within the space of one hour in a New York City park,The Independent,LEFT-CENTER BIAS,26,"July 22, 2021",True,https://news.yahoo.com//three-women-attacked-within-space-135907954.html
26,The US launched strikes to destroy military equipment the Taliban captured from Afghan security forces,Business Insider,LEFT-CENTER BIAS,27,"July 22, 2021",True,https://news.yahoo.com//us-launched-strikes-destroy-military-004629191.html
27,"Georgia Rep. Hank Johnson arrested at voting rights demonstration, second House Democrat detained in a week",USA TODAY,LEFT-CENTER BIAS,28,"July 22, 2021",True,https://news.yahoo.com//georgia-rep-hank-johnson-arrested-205103607.html
28,"A man was lost in the Alaskan wilderness for weeks and fended off a grizzly bear nightly, until a coast guard helicopter spotted his 'SOS' by chance",INSIDER,LEFT-CENTER BIAS,29,"July 22, 2021",True,https://news.yahoo.com//man-lost-alaskan-wilderness-weeks-013153165.html
29,"As Tokyo Games open, can Olympic flame burn away the funk?",Associated Press,LEAST BIASED,30,"July 22, 2021",True,https://news.yahoo.com//tokyo-games-open-olympic-flame-061716673.html
