,Yahoo News Headline,Link to Headline,Publication,MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
19,Fauci: 'There's no way' the coronavirus was made with U.S. research funds. Here's why,https://news.yahoo.com//fauci-theres-no-way-coronavirus-120033699.html,LA Times,LEFT-CENTER BIAS,20,"July 24, 2021",True
20,Army Ranger Savagely Killed Female Security Guard in Drunken Rampage: Police,https://news.yahoo.com//army-ranger-savagely-killed-female-172255483.html,The Daily Beast,LEFT BIAS,21,"July 24, 2021",True
21,"At the recent CPAC, attendees celebrated the failure of Biden's goal to vaccinate 70% of adults. Now top Republicans have U-turned, urging people to get their jab.",https://news.yahoo.com//recent-cpac-attendees-celebrated-failure-155302579.html,Business Insider,LEFT-CENTER BIAS,22,"July 24, 2021",True
22,"A United Airlines flight was evacuated after a teenager AirDropped a photo of an airsoft gun to other passengers, report says",https://news.yahoo.com//united-airlines-flight-evacuated-teenager-131229565.html,Business Insider,LEFT-CENTER BIAS,23,"July 24, 2021",True
23,‘Avenge Her Murder’: The Grisly Killing of an Ex-Diplomat’s Daughter Ignites a Wave of Fury Worldwide,https://news.yahoo.com//avenge-her-murder-grisly-killing-235108660.html,The Daily Beast,LEFT BIAS,24,"July 24, 2021",True
24,"Powerhouse US swim team shines with 6 medals, 1st US gold",https://news.yahoo.com//kalisz-wins-first-us-medal-014806234.html,Associated Press,LEAST BIASED,25,"July 24, 2021",True
25,First images of Derek Chauvin in prison are released,https://news.yahoo.com//first-images-derek-chauvin-prison-142103579.html,The Independent,LEFT-CENTER BIAS,26,"July 24, 2021",True
26,California family say they were treated like criminals on a Southwest flight because their toddler wouldn't keep his mask on,https://news.yahoo.com//california-family-were-treated-criminals-131004121.html,Business Insider,LEFT-CENTER BIAS,27,"July 24, 2021",True
27,"Heat wave to cover huge swath of US in coming days, bringing high temperatures to millions",https://news.yahoo.com//heat-wave-cover-huge-swath-002251140.html,USA TODAY,LEFT-CENTER BIAS,28,"July 24, 2021",True
28,Biden set to nominate Caroline Kennedy as US ambassador to Australia: report,https://news.yahoo.com//biden-set-nominate-caroline-kennedy-182229535.html,Business Insider,LEFT-CENTER BIAS,29,"July 24, 2021",True
29,"R. Kelly sexually abused teenage boy he met in McDonald's and bribed officials for information about his legal case, prosecutors allege",https://news.yahoo.com//r-kelly-sexually-abused-teenage-145812082.html,INSIDER,LEFT-CENTER BIAS,30,"July 24, 2021",True
