,Yahoo News Headline,Link to Headline,Publication,MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
20,"Astronomers see back of a black hole for first time, proving Albert Einstein was right",https://news.yahoo.com//astronomers-see-back-black-hole-141927796.html,The Telegraph,RIGHT BIAS,21,"July 28, 2021",True
21,First Asian American curve model for SI Yumi Nu speaks out about fatphobia in Asian culture,https://news.yahoo.com//first-asian-american-curve-model-002156573.html,NextShark,N/A,22,"July 28, 2021",True
22,"A YouTuber bet a physicist $10,000 that a wind-powered vehicle could travel twice as fast as the wind itself - and won",https://news.yahoo.com//youtuber-bet-physicist-10-000-120100405.html,Business Insider,LEFT-CENTER BIAS,23,"July 28, 2021",True
23,Legendary competitive eater Joey Chestnut reveals what happened to his body after he ate 76 hot dogs and buns in 10 minutes,https://news.yahoo.com//legendary-competitive-eater-joey-chestnut-214602684.html,INSIDER,LEFT-CENTER BIAS,24,"July 28, 2021",False
24,Ashton Kutcher and Mila Kunis say they don't bathe their kids every day - and a pediatrician says they're on to something,https://news.yahoo.com//ashton-kutcher-mila-kunis-dont-193204391.html,INSIDER,LEFT-CENTER BIAS,25,"July 28, 2021",False
25,Mark Zuckerberg's $23.4 million in security costs last year is more than the combined cost of keeping 10 other top execs safe,https://news.yahoo.com//facebook-spent-23-million-mark-124336342.html,Business Insider,LEFT-CENTER BIAS,26,"July 28, 2021",True
26,Steph Curry visits Ah-Sam Florists in San Mateo to support small businesses as they reopen,https://news.yahoo.com//steph-curry-visits-ah-sam-193720288.html,NextShark,N/A,27,"July 28, 2021",True
27,Ohio woman attacks elderly Asian store owners after her card was declined,https://news.yahoo.com//ohio-woman-attacks-elderly-asian-194208386.html,NextShark,N/A,28,"July 28, 2021",True
28,FAA changes definition of who qualifies as an astronaut,https://news.yahoo.com//faa-changes-definition-qualifies-astronaut-224804267.html,CBS News Videos,RIGHT-CENTER BIAS,29,"July 28, 2021",True
29,Workmen digging a well in a man's backyard discovered a $100 million windfall: a 2.5 million-carat sapphire cluster,https://news.yahoo.com//workmen-digging-well-mans-backyard-030446643.html,INSIDER,LEFT-CENTER BIAS,30,"July 28, 2021",False
