,Yahoo News Headline,Link to Headline,Publication,MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
11,Nigerian outrage at brazen bandit attacks,https://news.yahoo.com//nigerian-outrage-brazen-bandit-attacks-231009617.html,BBC,LEFT-CENTER BIAS,12,"July 25, 2021",True
12,Pandemic leaves Indians mired in massive medical debts,https://news.yahoo.com//pandemic-leaves-indians-mired-massive-043601230.html,Associated Press,LEAST BIASED,13,"July 25, 2021",True
13,Migrant workers stranded in China's flooded cities,https://news.yahoo.com//migrant-workers-stranded-chinas-flooded-082529147.html,Reuters Videos,LEFT BIAS,14,"July 25, 2021",False
14,"Sarah Huckabee Sanders says Biden, Harris should give Trump credit to increase vaccination rate",https://news.yahoo.com//sarah-huckabee-sanders-says-biden-150211902.html,The Week,LEFT BIAS,15,"July 25, 2021",True
15,"Australia sees COVID-19 cases climb, police warn against protest repeat",https://news.yahoo.com//australias-victoria-eyes-covid-19-234527626.html,Reuters,LEAST BIASED,16,"July 25, 2021",True
16,Covid: Fauci says US heading in wrong direction as cases rise,https://news.yahoo.com//covid-fauci-says-us-heading-195658123.html,BBC,LEFT-CENTER BIAS,17,"July 25, 2021",True
17,U.S. House Speaker Pelosi names Republican Kinzinger to Jan. 6 panel,https://news.yahoo.com//u-house-speaker-pelosi-may-151837284.html,Reuters,LEAST BIASED,18,"July 25, 2021",True
18,Lebanese Sunni tycoon Najib Mikati poised to be designated PM,https://news.yahoo.com//lebanese-sunni-muslim-leaders-endorse-165434736.html,Reuters,LEAST BIASED,19,"July 25, 2021",True
19,"Decades ago, Fidel Castro promised all a better way of life: He lied to Cubans like my parents | Opinion",https://news.yahoo.com//decades-ago-fidel-castro-promised-193132325.html,Miami Herald,LEFT-CENTER BIAS,20,"July 25, 2021",True
20,Police respond to viral video showing officer appearing to toss a baggie into man’s car,https://news.yahoo.com//police-respond-viral-video-showing-192931364.html,The Independent,LEFT-CENTER BIAS,21,"July 25, 2021",True
21,Prashant Kishor: How to win elections and influence people,https://news.yahoo.com//prashant-kishor-win-elections-influence-230248117.html,BBC,LEFT-CENTER BIAS,22,"July 25, 2021",True
22,Philip Morris International CEO said cigarettes should be banned and that the company will stop selling Marlboros in the UK within a decade,https://news.yahoo.com//philip-morris-international-ceo-said-014718006.html,Business Insider,LEFT-CENTER BIAS,23,"July 25, 2021",True
23,"Malaysia will not extend state of emergency, says law minister",https://news.yahoo.com//malaysia-not-extend-state-emergency-042039166.html,Reuters,LEAST BIASED,24,"July 25, 2021",True
24,'Like a hammer hitting us in the head': Homes ablaze in California as Western wildfires rage,https://news.yahoo.com//rugged-terrain-hot-dry-conditions-145638183.html,USA TODAY,LEFT-CENTER BIAS,25,"July 25, 2021",True
25,Will Foxconn Billionaire Terry Gou’s COVID-19 Vaccine Deal Bring Taiwan Closer to China?,https://news.yahoo.com//foxconn-billionaire-terry-gou-covid-050456452.html,Time,LEFT-CENTER BIAS,26,"July 25, 2021",True
26,"The 'QAnon Shaman' is in plea negotiations after being diagnosed with mental illnesses, including schizophrenia and bipolar disorder, report says",https://news.yahoo.com//qanon-shaman-plea-negotiations-being-003139848.html,Business Insider,LEFT-CENTER BIAS,27,"July 25, 2021",True
27,The Disturbing Story Behind Tucker Carlson’s Favorite Black Cop,https://news.yahoo.com//disturbing-story-behind-tucker-carlson-002512170.html,The Daily Beast,LEFT BIAS,28,"July 25, 2021",True
28,How Russia is skirting ban on nationality markers at Olympics,https://news.yahoo.com//russia-skirting-ban-nationality-markers-145328540.html,The Week,LEFT BIAS,29,"July 25, 2021",False
29,"Fact check: Pfizer, Moderna vaccines don't pose 'any obvious safety signals' in pregnancy, study found",https://news.yahoo.com//fact-check-pfizer-moderna-vaccines-192218777.html,USA TODAY,LEFT-CENTER BIAS,30,"July 25, 2021",True
